# initial_x = 1
x,y
1.55093,1.36385
1.48464,-1.59144
1.28668,0.401749
1.55213,1.35297
1.48322,-1.60013
1.28703,0.398241
1.55333,1.34205
1.49739,-1.50891
1.28738,0.394725
1.55452,1.33109
1.49604,-1.51799
1.28773,0.3912
1.5557,1.32009
1.49469,-1.52704
1.28808,0.387668
1.55686,1.30905
1.49333,-1.53604
1.28842,0.384128
1.54443,1.42043


# initial_x = 1.03333
x,y
1.0434,1.01344
0.975381,-2.26234
1.45128,1.45115
1.29183,-2.22543
1.29969,1.56088
1.15969,-2.33019
1.39416,1.27326
1.40223,-2.24671
1.25959,1.14754
1.57009,-1.71501
1.52592,-0.354184
1.29527,-0.538504
1.51815,1.64386
1.49476,-1.41549
1.29601,0.482765
1.56122,1.23258
1.48608,-1.60157
1.29034,0.481155
1.54692,1.46964
1.51078,-1.40383
1.27492,0.0532466
1.52283,1.77042
1.52132,-1.14314
1.27515,-0.08329
1.51584,1.85279
1.51382,-1.11367
1.28681,0.0809385
1.53702,1.45729
1.47899,-1.60121
1.29044,0.578745
1.55485,1.45547
1.51811,-1.33622
1.26664,-0.159965
1.51352,2.02923
1.4323,-1.23826
1.35166,0.758449
1.5713,1.22768
1.50346,-1.51351
1.26929,-0.0026185
1.52583,1.85591
1.50854,-1.02637
1.30146,0.332176
1.55628,0.927759
1.43927,-1.9478
1.27919,1.01957
1.68092,-0.321287
1.58939,-0.160788
1.65374,0.339701
1.60036,-0.688911
1.63657,0.566991
1.58462,-0.951822
1.58889,0.601404
1.52014,-1.66226
1.25463,-0.544589
1.5011,2.2778
1.20853,-1.21028
1.51523,2.38058
1.08419,-0.457548
1.38327,-2.66674
1.24757,0.336447
1.55914,1.84393
1.43124,-1.18558
1.35663,0.708405
1.56606,0.890046
1.44992,-1.92346
1.28198,0.717636
1.57676,1.60231
1.51901,-0.960109
1.28193,-0.070731
1.52558,1.69821
1.50974,-1.28425
1.27911,0.0585923
1.53371,1.63001
1.50922,-1.32025
1.27644,0.0206366
1.53126,1.70541
1.52454,-1.11503
1.27649,-0.0395324
1.52917,1.74184
1.52165,-1.09614
1.28043,0.0115434
1.53663,1.60215
1.51709,-1.25356
